0.0051159,0.0018176,-0.0020291,0.00096732,0.0043645,-0.00090081,-0.0030573,0.00069913,0.0060917,0.0048402,-0.00104,0.0012721
0.0063461,-0.00066476,-0.0035791,0.0023906,0.0049027,-0.0043066,-0.0050376,0.0018107,0.0082874,0.0032274,-0.0023469,0.0030943
0.0060972,-0.0025449,-0.0043025,0.002417,0.0040226,-0.0071947,-0.0063519,0.0015999,0.0089248,0.0021968,-0.0027283,0.0035612
0.005999,0.00020466,-0.0020686,0.0022712,0.0034783,-0.0052775,-0.0044653,0.0012563,0.0095555,0.0061226,-0.00047546,0.0037154
0.0054889,0.0014801,-0.0010025,0.0019883,0.0024536,-0.0044968,-0.0035493,0.00085339,0.010171,0.0081769,0.00092494,0.0037648
0.0046322,0.003495,-0.00038729,0.0012669,0.001059,-0.0028205,-0.0031728,5.7885e-05,0.010398,0.010894,0.0016678,0.0033529
0.0039431,0.0067166,0.00074184,0.00053933,-0.00024897,-6.8006e-05,-0.0021307,-0.00085814,0.011175,0.015415,0.0030924,0.0028664
0.0035704,0.0096522,0.0021254,0.00010715,-0.001177,0.0021639,-0.00077033,-0.0014108,0.011699,0.019912,0.0049412,0.002588
0.0031624,0.012857,0.0026383,-0.00011956,-0.0018864,0.0050071,-9.0069e-05,-0.0018082,0.012224,0.025412,0.0060014,0.0024636
0.0030177,0.015224,0.0028617,-0.00030194,-0.0022474,0.0063094,0.00017031,-0.0022315,0.013342,0.029945,0.0066586,0.002443
0.0036384,0.01662,0.0028413,-0.00029575,-0.0020148,0.0067146,0.00015545,-0.0023922,0.014977,0.03479,0.0071864,0.0025347
0.0043667,0.016826,0.0025417,-9.8484e-05,-0.0013553,0.0061247,-0.00031106,-0.0022062,0.01729,0.038994,0.0072451,0.0027232
0.0051034,0.016378,0.0019769,0.00014064,-0.000513,0.0050965,-0.00088188,-0.0018336,0.019454,0.042473,0.0070899,0.0031739
0.0059,0.015568,0.0016235,0.00029197,0.00029919,0.0035163,-0.0016293,-0.0016861,0.022163,0.044852,0.0068324,0.0036597
0.0064309,0.014417,0.0012761,0.00040997,0.00094576,0.0015793,-0.0022701,-0.0015704,0.024771,0.049036,0.0065531,0.0040208
0.0066052,0.013709,0.0010692,0.00042646,0.0011769,-0.0001012,-0.0027833,-0.0014353,0.027499,0.053366,0.0065952,0.0044902
